127.0.0.1 - - [19/Mar/2025:14:05:58 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Mar/2025:14:06:00 +0900] "GET /shop/header.jsp HTTP/1.1" 200 120
0:0:0:0:0:0:0:1 - - [19/Mar/2025:14:06:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Mar/2025:14:39:53 +0900] "GET /shopping/header.jsp HTTP/1.1" 200 698
0:0:0:0:0:0:0:1 - - [19/Mar/2025:14:39:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [19/Mar/2025:14:40:04 +0900] "GET /shopping/header.jsp HTTP/1.1" 200 697
0:0:0:0:0:0:0:1 - - [19/Mar/2025:14:41:06 +0900] "GET /shopping/header.jsp HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [19/Mar/2025:14:41:18 +0900] "GET /shopping/header.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [19/Mar/2025:14:42:28 +0900] "GET /shopping/header.jsp HTTP/1.1" 200 694
0:0:0:0:0:0:0:1 - - [19/Mar/2025:14:42:32 +0900] "GET /shopping/insert.jsp HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [19/Mar/2025:14:42:48 +0900] "GET /shopping/list.jsp HTTP/1.1" 200 153
0:0:0:0:0:0:0:1 - - [19/Mar/2025:14:42:51 +0900] "GET /shopping/salary.jsp HTTP/1.1" 200 146
0:0:0:0:0:0:0:1 - - [19/Mar/2025:14:42:53 +0900] "GET /shopping/index.jsp HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [19/Mar/2025:14:51:43 +0900] "GET /shop/header.jsp HTTP/1.1" 200 331
0:0:0:0:0:0:0:1 - - [19/Mar/2025:14:51:50 +0900] "GET /shopping/header.jsp HTTP/1.1" 200 694
